Tempo (s),PWM,RPM
0.009,4.8,0.0
0.019,14.4,0.0
0.029,24.0,0.0
0.039,33.6,0.0
0.049,43.008,60.0
0.059,52.224,60.0
0.069,61.152,150.0
0.079,69.6,210.0
0.089,77.568,300.0
0.099,84.864,420.0
0.109,91.392,540.0
0.119,97.248,630.0
0.129,102.336,780.0
0.139,106.656,870.0
0.149,110.304,990.0
0.159,113.184,1110.0
0.169,115.488,1170.0
0.179,117.312,1260.0
0.189,118.752,1290.0
0.199,119.808,1380.0
0.209,120.384,1440.0
0.219,120.672,1470.0
0.229,120.768,1500.0
0.239,120.672,1530.0
0.249,120.384,1560.0
0.259,120.0,1560.0
0.269,119.52,1590.0
0.279,118.944,1590.0
0.289,118.272,1620.0
0.3,117.504,1620.0
0.309,116.832,1590.0
0.319,116.16,1620.0
0.329,115.392,1620.0
0.339,114.624,1620.0
0.349,113.952,1590.0
0.359,113.28,1620.0
0.369,112.512,1620.0
0.379,111.84,1590.0
0.389,111.264,1590.0
0.399,110.688,1590.0
0.409,110.112,1590.0
0.419,109.632,1560.0
0.429,109.152,1590.0
0.439,108.672,1560.0
0.449,108.288,1560.0
0.459,107.904,1560.0
0.47,107.52,1560.0
0.479,107.232,1530.0
0.489,106.944,1560.0
0.499,106.656,1530.0
0.509,106.464,1530.0
0.519,106.272,1530.0
0.529,106.08,1530.0
0.539,105.888,1530.0
0.549,105.696,1530.0
0.559,105.504,1530.0
0.569,105.408,1500.0
0.579,105.408,1500.0
0.589,105.312,1530.0
0.599,105.216,1500.0
0.609,105.12,1530.0
0.619,105.024,1500.0
0.629,105.024,1500.0
0.64,104.928,1530.0
0.649,104.832,1500.0
0.659,104.832,1500.0
0.669,104.832,1500.0
0.679,104.832,1500.0
0.689,104.832,1500.0
0.699,104.832,1500.0
0.709,104.832,1500.0
0.719,104.832,1500.0
0.729,104.832,1500.0
0.739,104.832,1500.0
0.749,104.832,1500.0
0.759,104.832,1500.0
0.769,104.928,1470.0
0.779,105.024,1500.0
0.789,105.024,1500.0
0.799,105.024,1500.0
0.809,105.024,1500.0
0.819,105.024,1500.0
0.829,104.928,1530.0
0.839,104.832,1500.0
0.849,104.832,1500.0
0.859,104.832,1500.0
0.869,104.736,1530.0
0.879,104.64,1500.0
0.889,104.64,1500.0
0.899,104.64,1500.0
0.909,104.64,1500.0
0.919,104.64,1500.0
0.929,104.64,1500.0
0.94,104.64,1500.0
0.949,104.64,1500.0
0.959,104.64,1500.0
0.969,104.64,1500.0
0.979,104.64,1500.0
0.989,104.544,1530.0
0.999,104.448,1500.0
1.009,104.448,1500.0
1.019,104.448,1500.0
1.029,104.448,1500.0
1.039,104.448,1500.0
1.049,104.448,1500.0
1.059,104.448,1500.0
1.069,104.448,1500.0
1.079,104.448,1500.0
1.089,104.448,1500.0
1.099,104.448,1500.0
1.11,104.448,1500.0
1.119,104.352,1530.0
1.129,104.256,1500.0
1.139,104.256,1500.0
1.149,104.256,1500.0
1.159,104.256,1500.0
1.169,104.256,1500.0
1.179,104.256,1500.0
1.189,104.256,1500.0
1.199,104.256,1500.0
1.209,104.256,1500.0
1.219,104.256,1500.0
1.229,104.256,1500.0
1.239,104.16,1530.0
1.249,104.064,1500.0
1.259,104.16,1470.0
1.269,104.16,1530.0
1.28,104.064,1500.0
1.289,104.064,1500.0
1.299,104.064,1500.0
1.309,104.064,1500.0
1.319,104.064,1500.0
1.329,104.064,1500.0
1.339,104.064,1500.0
1.349,104.064,1500.0
1.359,103.968,1530.0
1.369,103.968,1470.0
1.379,104.064,1500.0
1.389,103.968,1530.0
1.399,103.872,1500.0
1.409,103.872,1500.0
1.419,103.968,1470.0
1.429,103.968,1530.0
1.439,103.872,1500.0
1.449,103.872,1500.0
1.459,103.872,1500.0
1.469,103.872,1500.0
1.479,103.872,1500.0
1.489,103.968,1470.0
1.499,104.064,1500.0
1.509,104.064,1500.0
1.519,104.064,1500.0
1.529,104.064,1500.0
1.539,104.16,1470.0
1.549,104.256,1500.0
1.559,104.256,1500.0
1.569,104.256,1500.0
1.58,104.352,1470.0
1.589,104.448,1500.0
1.599,104.448,1500.0
1.609,104.448,1500.0
1.619,104.544,1470.0
1.629,104.64,1500.0
1.639,104.64,1500.0
1.649,104.64,1500.0
1.659,104.736,1470.0
1.669,104.832,1500.0
1.679,104.832,1500.0
1.689,104.928,1470.0
1.699,105.024,1500.0
1.709,105.024,1500.0
1.719,105.024,1500.0
1.729,105.12,1470.0
1.739,105.216,1500.0
1.75,105.216,1500.0
1.759,105.216,1500.0
1.769,105.216,1500.0
1.779,105.312,1470.0
1.789,105.312,1530.0
1.799,105.216,1500.0
1.809,105.216,1500.0
1.819,105.216,1500.0
1.829,105.216,1500.0
1.839,105.216,1500.0
1.849,105.216,1500.0
1.859,105.216,1500.0
1.869,105.12,1530.0
1.879,105.024,1500.0
1.889,105.024,1500.0
1.899,105.024,1500.0
1.909,105.024,1500.0
1.92,105.024,1500.0
1.929,105.024,1500.0
1.939,105.024,1500.0
1.949,104.928,1530.0
1.959,104.832,1500.0
1.969,104.832,1500.0
1.979,104.832,1500.0
1.989,104.832,1500.0
1.999,104.832,1500.0
2.269,104.928,1470.0
2.279,105.024,1500.0
2.289,105.024,1500.0
2.299,105.024,1500.0
2.309,105.024,1500.0
2.319,104.928,1530.0
2.329,104.832,1500.0
2.339,104.832,1500.0
2.349,104.832,1500.0
2.359,104.832,1500.0
2.369,104.256,1500.0
2.379,104.256,1500.0
2.39,104.256,1500.0
2.399,104.256,1500.0
2.409,104.256,1500.0
2.419,104.256,1500.0
2.429,104.256,1500.0
2.439,104.256,1500.0
2.449,104.256,1500.0
2.459,104.256,1500.0
2.469,104.256,1500.0
2.479,104.256,1500.0
2.489,104.256,1500.0
2.499,104.16,1530.0
2.509,104.064,1500.0
2.519,104.064,1500.0
2.529,104.064,1500.0
2.539,104.064,1500.0
2.549,104.064,1500.0
2.56,104.064,1500.0
2.569,104.064,1500.0
2.579,104.064,1500.0
2.589,103.968,1530.0
2.599,103.968,1470.0
2.609,104.064,1500.0
2.619,104.064,1500.0
2.629,103.968,1530.0
2.639,103.968,1470.0
2.649,104.064,1500.0
2.659,104.064,1500.0
2.669,104.064,1500.0
2.679,104.064,1500.0
2.689,104.064,1500.0
2.699,104.064,1500.0
2.709,104.064,1500.0
2.719,104.064,1500.0
2.729,104.064,1500.0
2.739,104.064,1500.0
2.749,104.064,1500.0
2.759,104.064,1500.0
2.769,104.064,1500.0
2.779,104.064,1500.0
2.789,104.064,1500.0
2.799,104.064,1500.0
2.809,104.064,1500.0
2.819,103.968,1530.0
2.829,103.872,1500.0
2.839,103.872,1500.0
2.849,103.968,1470.0
2.86,103.968,1530.0
2.869,103.872,1500.0
2.879,103.968,1470.0
2.889,104.064,1500.0
2.899,104.064,1500.0
2.909,104.16,1470.0
2.919,104.256,1500.0
2.929,104.352,1470.0
2.939,104.448,1500.0
2.949,104.448,1500.0
2.959,104.448,1500.0
2.969,104.448,1500.0
2.979,104.448,1500.0
2.989,104.448,1500.0
2.999,104.448,1500.0
3.009,104.448,1500.0
3.019,104.448,1500.0
3.03,104.448,1500.0
3.039,104.448,1500.0
3.049,104.352,1530.0
3.059,104.256,1500.0
3.069,104.256,1500.0
3.079,104.256,1500.0
3.089,104.256,1500.0
3.099,104.16,1530.0
3.109,104.064,1500.0
3.119,104.064,1500.0
3.129,104.16,1470.0
3.139,104.16,1530.0
3.149,104.064,1500.0
3.159,104.064,1500.0
3.169,104.064,1500.0
3.179,104.064,1500.0
3.189,104.064,1500.0
3.2,104.064,1500.0
3.209,104.064,1500.0
3.219,103.968,1530.0
3.229,103.872,1500.0
3.239,103.872,1500.0
3.249,103.968,1470.0
3.259,103.968,1530.0
3.269,103.872,1500.0
3.279,103.968,1470.0
3.289,104.064,1500.0
3.299,104.064,1500.0
3.309,104.064,1500.0
3.319,104.064,1500.0
3.329,104.064,1500.0
3.339,104.064,1500.0
3.349,104.064,1500.0
3.359,104.064,1500.0
3.369,104.064,1500.0
3.379,104.064,1500.0
3.389,103.968,1530.0
3.399,103.968,1470.0
3.409,104.064,1500.0
3.419,103.968,1530.0
3.429,103.872,1500.0
3.439,103.968,1470.0
3.449,104.064,1500.0
3.459,103.968,1530.0
3.469,103.872,1500.0
3.479,103.872,1500.0
3.489,103.968,1470.0
3.5,103.968,1530.0
3.509,103.872,1500.0
3.519,103.968,1470.0
3.529,104.064,1500.0
3.539,104.064,1500.0
3.549,104.064,1500.0
3.559,104.064,1500.0
3.569,104.064,1500.0
3.579,104.064,1500.0
3.589,104.064,1500.0
3.599,104.16,1470.0
3.609,104.256,1500.0
3.619,104.256,1500.0
3.629,104.256,1500.0
3.639,104.256,1500.0
3.649,104.256,1500.0
3.659,104.256,1500.0
3.67,104.256,1500.0
3.679,104.256,1500.0
3.689,104.256,1500.0
3.699,104.256,1500.0
3.709,104.256,1500.0
3.719,104.256,1500.0
3.729,104.256,1500.0
3.739,104.16,1530.0
3.749,104.064,1500.0
3.759,104.064,1500.0
3.769,104.064,1500.0
3.779,104.064,1500.0
3.789,104.064,1500.0
3.799,104.064,1500.0
3.809,104.064,1500.0
3.819,104.064,1500.0
3.829,103.968,1530.0
3.84,103.968,1470.0
3.849,104.064,1500.0
3.859,104.064,1500.0
3.869,104.064,1500.0
3.879,104.064,1500.0
3.889,104.064,1500.0
3.899,104.064,1500.0
3.909,104.064,1500.0
3.919,104.064,1500.0
3.929,104.064,1500.0
3.939,103.968,1530.0
3.949,103.872,1500.0
3.959,103.872,1500.0
3.969,103.872,1500.0
3.979,103.872,1500.0
3.989,103.872,1500.0
3.999,103.872,1500.0
4.009,103.968,1470.0
4.019,104.064,1500.0
4.029,104.064,1500.0
4.039,104.064,1500.0
4.049,104.064,1500.0
4.059,104.064,1500.0
4.069,104.064,1500.0
4.079,104.16,1470.0
4.089,104.352,1470.0
4.099,104.448,1500.0
4.109,104.448,1500.0
4.119,104.544,1470.0
4.129,104.736,1470.0
4.14,104.832,1500.0
4.149,104.928,1470.0
4.159,105.216,1440.0
4.169,105.6,1440.0
4.179,105.888,1470.0
4.189,106.176,1440.0
4.199,106.656,1410.0
4.209,107.232,1410.0
4.219,107.712,1440.0
4.229,108.192,1410.0
4.239,108.768,1410.0
4.249,109.344,1410.0
4.259,110.016,1380.0
4.529,110.784,1380.0
4.539,111.648,1350.0
4.549,112.704,1320.0
4.559,113.856,1320.0
4.569,115.008,1320.0
4.579,116.16,1320.0
4.589,117.312,1320.0
4.599,118.56,1290.0
4.609,119.808,1320.0
4.619,120.96,1320.0
4.629,122.112,1320.0
4.639,123.168,1350.0
4.649,124.128,1350.0
4.659,124.992,1380.0
4.669,125.664,1410.0
4.679,126.24,1410.0
4.689,126.816,1410.0
4.699,127.296,1440.0
4.709,127.68,1440.0
4.719,127.968,1470.0
4.729,119.712,1470.0
4.739,119.808,1500.0
4.749,119.904,1470.0
4.759,120.096,1470.0
4.769,120.384,1440.0
4.78,120.768,1440.0
4.789,121.152,1440.0
4.799,121.536,1440.0
4.809,122.016,1410.0
4.819,122.688,1380.0
4.829,123.36,1410.0
4.839,123.936,1410.0
4.849,124.512,1410.0
4.859,125.088,1410.0
4.869,125.664,1410.0
4.879,126.24,1410.0
4.889,126.72,1440.0
4.899,127.2,1410.0
4.909,127.68,1440.0
4.919,127.968,1470.0
4.929,128.256,1440.0
4.939,128.544,1470.0
4.95,128.736,1470.0
4.959,128.928,1470.0
4.969,129.12,1470.0
4.979,129.312,1470.0
4.989,129.504,1470.0
4.999,129.696,1470.0
5.009,129.792,1500.0
5.019,129.888,1470.0
5.029,130.08,1470.0
5.039,130.176,1500.0
5.049,130.272,1470.0
5.059,130.464,1470.0
5.069,130.656,1470.0
5.079,130.847,1470.0
5.089,131.039,1470.0
5.099,131.231,1470.0
5.109,131.423,1470.0
5.12,131.519,1500.0
5.129,131.615,1470.0
5.139,131.807,1470.0
5.149,131.999,1470.0
5.159,132.095,1500.0
5.169,132.191,1470.0
5.179,132.383,1470.0
5.189,132.479,1500.0
5.199,132.575,1470.0
5.209,132.671,1500.0
