Tempo (s),PWM,RPM
0.009,7.36,0.0
0.019,22.08,0.0
0.029,36.8,0.0
0.039,51.424,30.0
0.049,65.76,90.0
0.059,79.616,180.0
0.069,92.8,300.0
0.079,105.12,450.0
0.089,116.48,600.0
0.099,126.784,780.0
0.109,135.936,960.0
0.119,144.128,1080.0
0.129,151.456,1230.0
0.139,157.824,1380.0
0.149,163.328,1500.0
0.159,168.16,1590.0
0.169,172.512,1650.0
0.179,176.384,1740.0
0.189,179.776,1800.0
0.199,182.88,1830.0
0.209,185.6,1920.0
0.219,188.032,1920.0
0.229,190.368,1950.0
0.239,192.512,1980.0
0.249,194.56,1980.0
0.259,196.512,2010.0
0.269,198.272,2040.0
0.279,199.936,2040.0
0.289,201.6,2040.0
0.3,203.168,2070.0
0.309,204.64,2070.0
0.319,206.112,2070.0
0.329,207.584,2070.0
0.339,208.96,2100.0
0.349,210.24,2100.0
0.359,211.52,2100.0
0.369,212.8,2100.0
0.379,214.08,2100.0
0.389,215.264,2130.0
0.399,216.448,2100.0
0.409,217.632,2130.0
0.419,218.72,2130.0
0.429,219.808,2130.0
0.439,220.896,2130.0
0.449,221.888,2160.0
0.459,222.88,2130.0
0.47,223.872,2160.0
0.479,224.768,2160.0
0.489,225.76,2130.0
0.499,226.752,2160.0
0.509,227.648,2160.0
0.519,228.64,2130.0
0.529,229.536,2190.0
0.539,230.336,2160.0
0.549,231.232,2160.0
0.559,232.032,2190.0
0.569,232.736,2190.0
0.579,233.536,2160.0
0.589,234.336,2190.0
0.599,235.04,2190.0
0.609,235.744,2190.0
0.619,236.448,2190.0
0.629,237.152,2190.0
0.64,237.856,2190.0
0.649,238.56,2190.0
0.659,239.264,2190.0
0.669,239.872,2220.0
0.679,240.48,2190.0
0.689,241.184,2190.0
0.699,241.888,2190.0
0.709,242.592,2190.0
0.719,243.296,2190.0
0.729,244.0,2190.0
0.739,244.608,2220.0
0.749,245.024,2250.0
0.759,245.44,2220.0
0.769,245.951,2220.0
0.779,246.463,2220.0
0.789,246.975,2220.0
0.799,247.391,2250.0
0.809,247.711,2250.0
0.819,248.127,2220.0
0.829,248.543,2250.0
0.839,248.863,2250.0
0.849,249.279,2220.0
0.859,249.791,2220.0
0.869,250.303,2220.0
0.879,250.719,2250.0
0.889,251.039,2250.0
0.899,251.359,2250.0
0.909,251.679,2250.0
0.919,252.095,2220.0
0.929,252.511,2250.0
0.94,252.831,2250.0
0.949,253.247,2220.0
0.959,253.567,2280.0
0.969,253.695,2280.0
0.979,253.823,2280.0
0.989,253.951,2280.0
0.999,254.079,2280.0
1.009,254.111,2310.0
1.019,254.047,2310.0
1.029,254.079,2280.0
1.039,254.111,2310.0
1.049,254.047,2310.0
1.059,254.079,2280.0
1.069,254.111,2310.0
1.079,254.143,2280.0
1.089,254.175,2310.0
1.099,254.111,2310.0
1.11,254.047,2310.0
1.119,253.983,2310.0
1.129,253.919,2310.0
1.139,253.855,2310.0
1.149,253.791,2310.0
1.159,253.823,2280.0
1.169,253.855,2310.0
1.179,253.792,2310.0
1.189,253.824,2280.0
1.199,253.952,2280.0
1.209,254.176,2250.0
1.219,254.496,2250.0
1.229,254.912,2220.0
1.239,255.0,2160.0
1.249,255.0,2220.0
1.259,255.0,2250.0
1.269,255.0,2280.0
1.28,255.0,2280.0
1.289,255.0,2280.0
1.299,254.936,2340.0
1.309,254.776,2310.0
1.319,254.904,2250.0
1.329,255.0,2250.0
1.339,255.0,2220.0
1.349,255.0,2280.0
1.359,255.0,2280.0
1.369,255.0,2310.0
1.379,254.936,2310.0
1.389,254.872,2310.0
1.399,254.808,2310.0
1.409,254.648,2340.0
1.419,254.488,2310.0
1.429,254.424,2310.0
1.439,254.36,2310.0
1.449,254.296,2310.0
1.459,254.232,2310.0
1.469,254.264,2280.0
1.479,254.488,2250.0
1.489,254.808,2250.0
1.499,255.0,2190.0
1.509,255.0,2220.0
1.519,255.0,2280.0
1.529,255.0,2280.0
1.539,255.0,2310.0
1.549,255.0,2280.0
1.559,255.0,2310.0
1.569,254.936,2310.0
1.58,254.968,2280.0
1.589,255.0,2280.0
1.599,255.0,2280.0
1.609,255.0,2280.0
1.619,255.0,2310.0
1.629,254.936,2310.0
1.639,254.872,2310.0
1.649,254.904,2280.0
1.659,255.0,2220.0
1.669,255.0,2250.0
1.679,255.0,2280.0
1.689,255.0,2280.0
1.699,255.0,2310.0
1.709,254.936,2310.0
1.719,254.872,2310.0
1.729,254.904,2280.0
1.739,255.0,2190.0
1.75,255.0,2220.0
1.759,255.0,2250.0
1.769,255.0,2280.0
1.779,255.0,2310.0
1.789,255.0,2280.0
1.799,255.0,2310.0
1.809,254.84,2340.0
1.819,254.776,2280.0
1.829,255.0,2250.0
1.839,255.0,2190.0
1.849,255.0,2190.0
1.859,255.0,2250.0
1.869,255.0,2280.0
1.879,255.0,2310.0
1.889,254.936,2310.0
1.899,254.968,2280.0
1.909,255.0,2250.0
1.92,255.0,2250.0
1.929,255.0,2280.0
1.939,255.0,2310.0
1.949,254.936,2310.0
1.959,254.872,2310.0
1.969,255.0,2220.0
1.979,255.0,2250.0
1.989,255.0,2280.0
1.999,255.0,2280.0
2.269,255.0,2310.0
2.279,254.936,2310.0
2.289,254.968,2280.0
2.299,255.0,2250.0
2.309,255.0,2250.0
2.319,255.0,2280.0
2.329,255.0,2310.0
2.339,255.0,2280.0
2.349,254.936,2340.0
2.359,254.776,2310.0
2.369,255.0,2220.0
2.379,255.0,2250.0
2.39,255.0,2280.0
2.399,255.0,2280.0
2.409,255.0,2310.0
