Tempo (s),RPM
0.001,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,0.0
0.006,0.0
0.007,0.0
0.008,0.0
0.009,0.0
0.01,0.0
0.011,0.0
0.012,0.0
0.013,0.0
0.014,0.0
0.015,0.0
0.016,0.0
0.017,0.0
0.018,0.0
0.019,0.0
0.02,0.0
0.021,0.0
0.022,0.0
0.023,0.0
0.024,0.0
0.025,0.0
0.026,0.0
0.027,0.0
0.028,0.0
0.029,0.0
0.03,0.0
0.031,0.0
0.032,0.0
0.033,0.0
0.034,0.0
0.035,0.0
0.036,0.0
0.037,0.0
0.038,0.0
0.039,0.0
0.04,0.0
0.041,0.0
0.043,0.0
0.044,0.0
0.044,0.0
0.045,0.0
0.046,0.0
0.047,0.0
0.048,300.0
0.049,0.0
0.05,0.0
0.051,0.0
0.052,0.0
0.053,0.0
0.054,0.0
0.055,0.0
0.056,300.0
0.057,0.0
0.058,0.0
0.059,0.0
0.06,0.0
0.061,300.0
0.062,0.0
0.063,0.0
0.064,0.0
0.065,300.0
0.066,0.0
0.067,0.0
0.068,300.0
0.069,0.0
0.07,0.0
0.071,300.0
0.072,0.0
0.073,300.0
0.074,0.0
0.075,0.0
0.076,300.0
0.077,0.0
0.078,300.0
0.079,0.0
0.08,300.0
0.081,0.0
0.082,300.0
0.083,300.0
0.084,0.0
0.086,300.0
0.086,0.0
0.087,300.0
0.088,300.0
0.089,0.0
0.09,300.0
0.091,300.0
0.092,300.0
0.093,300.0
0.094,0.0
0.095,300.0
0.096,300.0
0.097,300.0
0.098,300.0
0.099,300.0
0.1,300.0
0.101,300.0
0.102,300.0
0.103,300.0
0.104,300.0
0.105,300.0
0.106,300.0
0.107,300.0
0.108,300.0
0.109,300.0
0.11,600.0
0.111,300.0
0.112,300.0
0.113,300.0
0.114,600.0
0.115,300.0
0.116,300.0
0.117,600.0
0.118,300.0
0.119,600.0
0.12,300.0
0.121,600.0
0.122,300.0
0.123,600.0
0.124,300.0
0.125,600.0
0.126,300.0
0.128,600.0
0.129,600.0
0.129,300.0
0.13,600.0
0.131,600.0
0.132,300.0
0.133,600.0
0.134,600.0
0.135,600.0
0.136,600.0
0.137,600.0
0.138,600.0
0.139,600.0
0.14,600.0
0.141,600.0
0.142,600.0
0.143,600.0
0.144,600.0
0.145,600.0
0.146,600.0
0.147,600.0
0.148,600.0
0.149,600.0
0.15,900.0
0.151,600.0
0.152,600.0
0.153,600.0
0.154,900.0
0.155,600.0
0.156,600.0
0.157,900.0
0.158,600.0
0.159,600.0
0.16,900.0
0.161,600.0
0.162,900.0
0.163,600.0
0.164,900.0
0.165,600.0
0.166,900.0
0.167,900.0
0.168,600.0
0.169,900.0
0.171,600.0
0.172,900.0
0.172,900.0
0.173,600.0
0.174,900.0
0.175,900.0
0.176,600.0
0.177,900.0
0.178,900.0
0.179,900.0
0.18,900.0
0.181,600.0
0.182,900.0
0.183,900.0
0.184,900.0
0.185,900.0
0.186,900.0
0.187,900.0
0.188,900.0
0.189,900.0
0.19,900.0
0.191,900.0
0.192,900.0
0.193,900.0
0.194,900.0
0.195,900.0
0.196,900.0
0.197,900.0
0.198,900.0
0.199,900.0
0.2,900.0
0.201,1200.0
0.202,900.0
0.203,900.0
0.204,900.0
0.205,900.0
0.206,900.0
0.207,1200.0
0.208,900.0
0.209,900.0
0.475,1200.0
0.476,900.0
0.477,1200.0
0.478,900.0
0.479,1200.0
0.48,900.0
0.481,900.0
0.482,1200.0
0.483,900.0
0.484,1200.0
0.485,900.0
0.486,1200.0
0.487,900.0
0.488,900.0
0.489,1200.0
0.49,900.0
0.491,1200.0
0.492,900.0
0.493,1200.0
0.494,900.0
0.495,900.0
0.496,1200.0
0.497,900.0
0.498,1200.0
0.499,900.0
0.5,1200.0
0.501,900.0
0.502,900.0
0.503,1200.0
0.504,900.0
0.505,1200.0
0.506,900.0
0.507,900.0
0.508,1200.0
0.509,900.0
0.51,900.0
0.512,1200.0
0.513,900.0
0.513,1200.0
0.514,900.0
0.515,900.0
0.516,1200.0
0.517,900.0
0.518,900.0
0.519,1200.0
0.52,900.0
0.521,900.0
0.522,1200.0
0.523,900.0
0.524,900.0
0.525,1200.0
0.526,900.0
0.527,900.0
0.528,1200.0
0.529,900.0
0.53,900.0
0.531,1200.0
0.532,900.0
0.533,900.0
0.534,1200.0
0.535,900.0
0.536,900.0
0.537,1200.0
0.538,900.0
0.539,900.0
0.54,1200.0
0.541,900.0
0.542,900.0
0.543,1200.0
0.544,900.0
0.545,900.0
0.546,1200.0
0.547,900.0
0.548,900.0
0.549,1200.0
0.55,900.0
0.551,900.0
0.552,1200.0
0.553,900.0
0.555,900.0
0.556,1200.0
0.556,900.0
0.557,900.0
0.558,1200.0
0.559,900.0
0.56,900.0
0.561,1200.0
0.562,900.0
0.563,900.0
0.564,1200.0
0.565,900.0
0.566,900.0
0.567,1200.0
0.568,900.0
0.569,900.0
0.57,1200.0
0.571,900.0
0.572,900.0
0.573,1200.0
0.574,900.0
0.575,900.0
0.576,900.0
0.577,1200.0
0.578,900.0
0.579,900.0
0.58,1200.0
0.581,900.0
0.582,900.0
0.583,900.0
0.584,1200.0
0.585,900.0
0.586,900.0
0.587,900.0
0.588,1200.0
0.589,900.0
0.59,900.0
0.591,1200.0
0.592,900.0
0.593,900.0
0.594,900.0
0.595,1200.0
0.596,900.0
0.598,900.0
0.598,1200.0
0.599,900.0
0.6,900.0
0.601,900.0
0.602,1200.0
0.603,900.0
0.604,900.0
0.605,1200.0
0.606,900.0
0.607,900.0
0.608,900.0
0.609,1200.0
0.61,900.0
0.611,900.0
0.612,1200.0
0.613,900.0
0.614,900.0
0.615,900.0
0.616,1200.0
0.617,900.0
0.618,900.0
0.619,1200.0
0.62,900.0
0.621,900.0
0.622,900.0
0.623,1200.0
0.624,900.0
0.625,900.0
0.626,1200.0
0.627,900.0
0.628,900.0
0.629,900.0
0.63,1200.0
0.631,900.0
0.632,900.0
0.633,1200.0
0.634,900.0
0.635,900.0
0.636,900.0
0.637,1200.0
0.638,900.0
0.64,900.0
0.641,1200.0
0.641,900.0
0.642,900.0
0.643,900.0
0.644,1200.0
0.645,900.0
0.646,900.0
0.647,900.0
0.648,1200.0
0.649,900.0
0.65,900.0
0.651,1200.0
0.652,900.0
0.653,900.0
0.654,900.0
0.655,1200.0
0.656,900.0
0.657,900.0
0.658,1200.0
0.659,900.0
0.66,900.0
0.661,1200.0
0.662,900.0
0.663,900.0
0.664,900.0
0.665,1200.0
0.666,900.0
0.667,900.0
0.668,1200.0
0.669,900.0
0.67,900.0
0.671,1200.0
0.672,900.0
0.673,900.0
0.674,1200.0
0.675,900.0
0.676,900.0
0.677,1200.0
0.678,900.0
0.679,900.0
0.68,900.0
0.681,1200.0
0.683,900.0
0.684,900.0
0.684,1200.0
0.965,900.0
0.966,1200.0
0.967,900.0
0.968,900.0
0.969,1200.0
0.97,900.0
0.971,900.0
0.972,1200.0
0.973,900.0
0.974,900.0
0.975,1200.0
0.976,900.0
0.977,900.0
0.978,1200.0
0.979,900.0
0.98,900.0
0.982,1200.0
0.982,900.0
0.983,1200.0
0.984,900.0
0.985,900.0
0.986,1200.0
0.987,900.0
0.988,900.0
0.989,1200.0
0.99,900.0
0.991,900.0
0.992,1200.0
0.993,900.0
0.994,900.0
0.995,900.0
0.996,1200.0
0.997,900.0
0.998,900.0
0.999,1200.0
1.0,900.0
1.001,900.0
1.002,1200.0
1.003,900.0
1.004,900.0
1.005,1200.0
1.006,900.0
1.007,900.0
1.008,900.0
1.009,1200.0
1.01,900.0
1.011,900.0
1.012,1200.0
1.013,900.0
1.014,900.0
1.015,1200.0
1.016,900.0
1.017,900.0
1.018,1200.0
1.019,900.0
1.02,900.0
1.021,1200.0
1.022,900.0
1.024,900.0
1.025,900.0
1.025,1200.0
1.026,900.0
1.027,900.0
1.028,1200.0
1.029,900.0
1.03,900.0
1.031,1200.0
1.032,900.0
1.033,900.0
1.034,1200.0
1.035,900.0
1.036,900.0
1.037,1200.0
1.038,900.0
1.039,900.0
1.04,1200.0
1.041,900.0
1.042,900.0
1.043,900.0
1.044,1200.0
1.045,900.0
1.046,900.0
1.047,1200.0
1.048,900.0
1.049,900.0
1.05,1200.0
1.051,900.0
1.052,900.0
1.053,1200.0
1.054,900.0
1.055,900.0
1.056,900.0
1.057,1200.0
1.058,900.0
1.059,900.0
1.06,1200.0
1.061,900.0
1.062,900.0
1.063,900.0
1.064,1200.0
1.065,900.0
1.067,900.0
1.068,1200.0
1.068,900.0
1.069,900.0
1.07,1200.0
1.071,900.0
1.072,900.0
1.073,900.0
1.074,1200.0
1.075,900.0
1.076,900.0
1.077,1200.0
1.078,900.0
1.079,900.0
1.08,1200.0
1.081,900.0
1.082,900.0
1.083,1200.0
1.084,900.0
1.085,900.0
1.086,1200.0
1.087,900.0
1.088,900.0
1.089,1200.0
1.09,900.0
1.091,900.0
1.092,1200.0
1.093,900.0
1.094,900.0
1.095,1200.0
1.096,900.0
1.097,900.0
1.098,1200.0
1.099,900.0
1.1,900.0
1.101,1200.0
1.102,900.0
1.103,900.0
1.104,1200.0
1.105,900.0
1.106,900.0
1.107,1200.0
1.108,900.0
1.11,900.0
1.11,1200.0
1.111,900.0
1.112,900.0
1.113,1200.0
1.114,900.0
1.115,900.0
1.116,1200.0
1.117,900.0
1.118,900.0
1.119,1200.0
1.12,900.0
1.121,900.0
1.122,900.0
1.123,1200.0
1.124,900.0
1.125,900.0
1.126,1200.0
1.127,900.0
1.128,900.0
1.129,1200.0
1.13,900.0
1.131,900.0
1.132,900.0
1.133,1200.0
1.134,900.0
1.135,900.0
1.136,1200.0
1.137,900.0
1.138,900.0
1.139,1200.0
1.14,900.0
1.141,900.0
1.142,1200.0
1.143,900.0
1.144,900.0
1.145,1200.0
1.146,900.0
1.147,900.0
1.148,1200.0
1.149,900.0
1.15,1200.0
1.152,900.0
1.153,900.0
1.153,1200.0
1.154,900.0
1.155,900.0
1.156,1200.0
1.157,900.0
1.158,900.0
1.159,1200.0
1.16,900.0
1.161,900.0
1.162,1200.0
1.163,900.0
1.164,1200.0
1.165,900.0
1.166,900.0
1.167,1200.0
1.168,900.0
1.169,900.0
1.17,1200.0
1.171,900.0
1.172,900.0
1.173,1200.0
1.174,900.0
1.456,900.0
1.457,1200.0
1.458,900.0
1.459,900.0
1.46,1200.0
1.461,900.0
1.462,900.0
1.463,1200.0
1.464,900.0
1.465,900.0
1.466,1200.0
1.467,900.0
1.468,900.0
1.469,1200.0
1.47,900.0
1.471,900.0
1.472,1200.0
1.473,900.0
1.474,900.0
1.475,900.0
1.476,1200.0
1.477,900.0
1.478,900.0
1.479,1200.0
1.48,900.0
1.481,900.0
1.482,1200.0
1.483,900.0
1.484,900.0
1.485,1200.0
1.486,900.0
1.487,900.0
1.488,900.0
1.489,1200.0
1.49,900.0
1.491,900.0
1.492,1200.0
1.494,900.0
1.494,900.0
1.495,1200.0
1.496,900.0
1.497,900.0
1.498,1200.0
1.499,900.0
1.5,900.0
1.501,1200.0
1.502,900.0
1.503,900.0
1.504,1200.0
1.505,900.0
1.506,900.0
1.507,1200.0
1.508,900.0
1.509,900.0
1.51,1200.0
1.511,900.0
1.512,900.0
1.513,1200.0
1.514,900.0
1.515,900.0
1.516,1200.0
1.517,900.0
1.518,900.0
1.519,1200.0
1.52,900.0
1.521,900.0
1.522,1200.0
1.523,900.0
1.524,900.0
1.525,1200.0
1.526,900.0
1.527,900.0
1.528,1200.0
1.529,900.0
1.53,900.0
1.531,1200.0
1.532,900.0
1.533,900.0
1.534,1200.0
1.536,900.0
1.537,900.0
1.537,1200.0
1.538,900.0
1.539,900.0
1.54,900.0
1.541,1200.0
1.542,900.0
1.543,900.0
1.544,1200.0
1.545,900.0
1.546,900.0
1.547,1200.0
1.548,900.0
1.549,900.0
1.55,1200.0
1.551,900.0
1.552,900.0
1.553,1200.0
1.554,900.0
1.555,900.0
1.556,1200.0
1.557,900.0
1.558,900.0
