Tempo (s),RPM
0.001,0.0
0.002,0.0
0.002,0.0
0.003,0.0
0.004,0.0
0.005,300.0
0.006,0.0
0.007,0.0
0.008,300.0
0.009,0.0
0.01,0.0
0.011,300.0
0.012,0.0
0.013,300.0
0.014,0.0
0.015,300.0
0.016,0.0
0.017,300.0
0.018,300.0
0.019,0.0
0.02,300.0
0.021,300.0
0.022,300.0
0.023,300.0
0.024,0.0
0.025,300.0
0.026,300.0
0.027,300.0
0.028,300.0
0.029,300.0
0.03,300.0
0.031,600.0
0.032,300.0
0.033,300.0
0.034,300.0
0.035,300.0
0.036,300.0
0.037,600.0
0.038,300.0
0.039,300.0
0.04,600.0
0.041,300.0
0.043,300.0
0.044,600.0
0.044,300.0
0.045,600.0
0.046,300.0
0.047,600.0
0.048,300.0
0.049,600.0
0.05,300.0
0.051,600.0
0.052,600.0
0.053,300.0
0.054,600.0
0.055,600.0
0.056,300.0
0.057,600.0
0.058,600.0
0.059,600.0
0.06,300.0
0.061,600.0
0.062,600.0
0.063,600.0
0.064,600.0
0.065,600.0
0.066,300.0
0.067,600.0
0.068,600.0
0.069,600.0
0.07,600.0
0.071,600.0
0.072,600.0
0.073,600.0
0.074,600.0
0.075,600.0
0.076,600.0
0.077,600.0
0.078,600.0
0.079,600.0
0.08,900.0
0.081,600.0
0.082,600.0
0.083,600.0
0.084,600.0
0.086,600.0
0.087,900.0
0.087,600.0
0.088,600.0
0.089,600.0
0.09,600.0
0.091,900.0
0.092,600.0
0.093,600.0
0.094,900.0
0.095,600.0
0.096,600.0
0.097,600.0
0.098,900.0
0.099,600.0
0.219,900.0
0.22,900.0
0.221,900.0
0.222,1200.0
0.223,900.0
0.224,900.0
0.225,1200.0
0.226,900.0
0.227,900.0
0.228,1200.0
0.229,900.0
0.23,1200.0
0.231,900.0
0.232,900.0
0.233,1200.0
0.234,900.0
0.235,900.0
0.236,1200.0
0.237,900.0
0.238,900.0
0.239,1200.0
0.24,900.0
0.241,1200.0
0.242,900.0
0.243,900.0
0.244,1200.0
0.245,900.0
0.246,1200.0
0.247,900.0
0.248,900.0
0.249,1200.0
0.25,900.0
0.251,1200.0
0.252,900.0
0.253,900.0
0.254,1200.0
0.256,900.0
0.257,1200.0
0.258,900.0
0.258,1200.0
0.259,900.0
0.26,900.0
0.261,1200.0
0.262,900.0
0.263,1200.0
0.264,900.0
0.265,1200.0
0.266,900.0
0.267,1200.0
0.268,900.0
0.269,1200.0
0.27,900.0
0.271,1200.0
0.272,900.0
0.273,1200.0
0.274,900.0
0.275,1200.0
0.276,900.0
0.277,1200.0
0.278,900.0
0.279,1200.0
0.28,900.0
0.281,1200.0
0.282,1200.0
0.283,900.0
0.284,1200.0
0.285,900.0
0.286,1200.0
0.287,900.0
0.288,1200.0
0.289,900.0
0.29,1200.0
0.291,1200.0
0.292,900.0
0.293,1200.0
0.294,900.0
0.295,1200.0
0.296,900.0
0.297,1200.0
0.299,1200.0
0.3,900.0
0.3,1200.0
0.301,900.0
0.302,1200.0
0.303,900.0
0.304,1200.0
0.305,900.0
0.306,1200.0
0.307,1200.0
0.308,900.0
0.309,1200.0
0.31,900.0
0.311,1200.0
0.312,1200.0
0.313,900.0
0.314,1200.0
0.315,900.0
0.316,1200.0
0.317,1200.0
0.318,900.0
0.445,1500.0
0.446,1200.0
0.447,1200.0
0.448,1200.0
0.449,1200.0
0.45,1200.0
0.451,1200.0
0.452,1200.0
0.453,1200.0
0.454,1200.0
0.455,1500.0
0.456,1200.0
0.457,1200.0
0.458,1200.0
0.459,1200.0
0.46,1200.0
0.461,1200.0
0.462,1200.0
0.463,1200.0
0.464,1200.0
0.465,1500.0
0.466,1200.0
0.467,1200.0
0.468,1200.0
0.47,1200.0
0.471,1200.0
0.471,1200.0
0.472,1200.0
0.473,1500.0
0.474,1200.0
0.475,1200.0
0.476,1200.0
0.477,1200.0
0.478,1200.0
0.479,1200.0
0.48,1500.0
0.481,1200.0
0.482,1200.0
0.483,1200.0
0.484,1200.0
0.485,1200.0
0.486,1500.0
0.487,1200.0
0.488,1200.0
0.489,1200.0
0.49,1200.0
0.491,1200.0
0.492,1500.0
0.493,1200.0
0.494,1200.0
0.495,1200.0
0.496,1200.0
0.497,1200.0
0.498,1500.0
0.499,1200.0
0.5,1200.0
0.501,1200.0
0.502,1200.0
0.503,1200.0
0.504,1500.0
0.505,1200.0
0.506,1200.0
0.507,1200.0
0.508,1200.0
0.509,1200.0
0.51,1200.0
0.512,1200.0
0.513,1200.0
0.514,1500.0
0.514,1200.0
0.515,1200.0
0.516,1200.0
0.517,1200.0
0.518,1200.0
0.519,1200.0
0.52,1200.0
0.521,1200.0
0.522,1200.0
0.523,1200.0
0.524,1200.0
0.525,1200.0
0.526,1200.0
0.527,1200.0
0.528,1200.0
0.529,1200.0
0.53,1200.0
0.531,1200.0
0.532,1200.0
0.533,1200.0
0.534,1200.0
0.535,1200.0
0.536,1200.0
0.537,1200.0
0.538,1200.0
0.539,900.0
0.54,1200.0
0.541,1200.0
0.542,1200.0
0.543,1200.0
0.544,1200.0
0.675,900.0
0.676,900.0
0.677,1200.0
0.678,900.0
0.679,900.0
0.68,900.0
0.681,1200.0
0.683,900.0
0.684,900.0
0.684,900.0
0.685,1200.0
0.686,900.0
0.687,900.0
0.688,900.0
0.689,900.0
0.69,1200.0
0.691,900.0
0.692,900.0
0.693,900.0
0.694,900.0
0.695,1200.0
0.696,900.0
0.697,900.0
0.698,900.0
0.699,1200.0
0.7,900.0
0.701,900.0
0.702,900.0
0.703,900.0
0.704,1200.0
0.705,900.0
0.706,900.0
0.707,900.0
0.708,900.0
0.709,1200.0
0.71,900.0
0.711,900.0
0.712,900.0
0.713,900.0
0.714,1200.0
0.715,900.0
0.716,900.0
0.717,900.0
0.718,1200.0
0.719,900.0
0.72,900.0
0.721,900.0
0.722,1200.0
0.723,900.0
0.724,900.0
0.726,900.0
0.727,900.0
0.727,1200.0
0.728,900.0
0.729,900.0
0.73,900.0
0.731,1200.0
0.732,900.0
0.733,900.0
0.734,900.0
0.735,900.0
0.736,1200.0
0.737,900.0
0.738,900.0
0.739,900.0
0.74,1200.0
0.741,900.0
0.742,900.0
0.743,900.0
0.744,900.0
0.745,1200.0
0.746,900.0
0.747,900.0
0.748,900.0
0.749,1200.0
0.75,900.0
0.751,900.0
0.752,1200.0
0.753,900.0
0.754,900.0
0.755,900.0
0.756,1200.0
0.757,900.0
0.758,900.0
0.759,900.0
0.76,1200.0
0.761,900.0
0.762,900.0
0.763,1200.0
0.764,900.0
0.765,900.0
0.766,900.0
0.768,1200.0
0.769,900.0
0.77,900.0
0.77,1200.0
0.771,900.0
0.772,900.0
0.773,1200.0
0.774,900.0
0.899,1200.0
0.9,900.0
0.901,1200.0
0.902,900.0
0.903,1200.0
0.904,900.0
0.905,1200.0
0.906,1200.0
0.907,900.0
0.908,1200.0
0.909,900.0
0.91,1200.0
0.911,900.0
0.912,1200.0
0.913,900.0
0.914,1200.0
0.915,900.0
0.916,1200.0
0.917,900.0
0.918,900.0
0.919,1200.0
0.92,900.0
0.921,1200.0
0.922,900.0
0.923,1200.0
0.924,900.0
0.925,1200.0
0.926,900.0
0.927,900.0
0.928,1200.0
0.929,900.0
0.93,1200.0
0.931,900.0
0.932,900.0
0.933,1200.0
0.934,900.0
0.935,1200.0
0.936,900.0
0.937,900.0
0.939,1200.0
0.94,900.0
0.94,900.0
0.941,1200.0
0.942,900.0
0.943,900.0
0.944,1200.0
0.945,900.0
0.946,900.0
0.947,1200.0
0.948,900.0
0.949,900.0
0.95,1200.0
0.951,900.0
0.952,900.0
0.953,1200.0
0.954,900.0
0.955,900.0
0.956,1200.0
0.957,900.0
0.958,900.0
0.959,900.0
0.96,1200.0
0.961,900.0
0.962,900.0
0.963,900.0
0.964,900.0
0.965,1200.0
0.966,900.0
0.967,900.0
0.968,900.0
0.969,1200.0
0.97,900.0
0.971,900.0
0.972,900.0
0.973,900.0
0.974,1200.0
0.975,900.0
0.976,900.0
0.977,900.0
0.978,900.0
0.979,900.0
0.98,1200.0
0.982,900.0
0.983,900.0
0.983,900.0
0.984,900.0
0.985,900.0
0.986,1200.0
0.987,900.0
0.988,900.0
