Tempo (s),RPM
0.009,0.0
0.019,180.0
0.029,510.0
0.039,750.0
0.049,930.0
0.059,1080.0
0.069,1230.0
0.079,1290.0
0.089,1380.0
0.099,1410.0
0.109,1470.0
0.119,1530.0
0.129,1590.0
0.139,1680.0
0.149,1710.0
0.159,1740.0
0.169,1770.0
0.179,1800.0
0.189,1800.0
0.199,1800.0
0.209,1830.0
0.219,1830.0
0.229,1860.0
0.239,1860.0
0.249,1890.0
0.259,1860.0
0.269,1890.0
0.279,1890.0
0.289,1920.0
0.3,1860.0
0.309,1920.0
0.319,1890.0
0.329,1920.0
0.339,1890.0
0.349,1950.0
0.359,1920.0
0.369,1920.0
0.379,1920.0
0.389,1920.0
0.399,1950.0
0.409,1920.0
0.419,1920.0
0.429,1950.0
0.439,1950.0
0.449,1950.0
0.459,1950.0
0.47,1980.0
0.479,1950.0
0.489,1950.0
0.499,1980.0
0.509,1980.0
0.519,1950.0
0.529,1980.0
0.539,1950.0
0.549,1950.0
0.559,1980.0
0.569,1980.0
0.579,1950.0
0.589,1980.0
0.599,1980.0
0.609,1950.0
0.619,1980.0
0.629,1980.0
0.64,1980.0
0.649,1980.0
0.659,1980.0
0.669,1980.0
0.679,2010.0
0.689,1980.0
0.699,1980.0
0.709,1980.0
0.719,1980.0
0.729,1980.0
0.739,1980.0
0.749,2010.0
0.759,1980.0
0.769,1980.0
0.779,2010.0
0.789,1980.0
0.799,1980.0
0.809,2010.0
0.819,1980.0
0.829,1980.0
0.839,2010.0
0.849,1980.0
0.859,1980.0
0.869,2010.0
0.879,1980.0
0.889,1980.0
0.899,1980.0
0.909,1980.0
0.919,1980.0
0.929,1980.0
0.94,1980.0
0.949,2010.0
0.959,1980.0
0.969,1980.0
0.979,2010.0
0.989,2010.0
0.999,1980.0
1.009,1980.0
1.019,1980.0
1.029,1980.0
1.039,2010.0
1.049,2010.0
1.059,1980.0
1.069,2010.0
1.079,2010.0
1.089,1980.0
1.099,2010.0
1.11,2010.0
1.119,1980.0
1.129,2010.0
1.139,2010.0
1.149,1980.0
1.159,2010.0
1.169,2010.0
1.179,1980.0
1.189,2010.0
1.199,2010.0
1.209,1980.0
1.219,2010.0
1.229,2010.0
1.239,1980.0
1.249,2010.0
1.259,2010.0
1.269,1980.0
1.28,2010.0
1.289,2010.0
1.299,1980.0
1.309,2010.0
1.319,2010.0
1.329,1980.0
1.339,1980.0
1.349,1980.0
1.359,1980.0
1.369,1980.0
1.379,2010.0
1.389,1980.0
1.399,1980.0
1.409,2010.0
1.419,1980.0
1.429,1980.0
1.439,2010.0
1.449,1980.0
1.459,2010.0
1.469,2010.0
1.479,1980.0
1.489,2010.0
1.499,1980.0
1.509,2010.0
1.519,1980.0
1.529,1980.0
1.539,2010.0
1.549,1980.0
1.559,2010.0
1.569,2010.0
1.58,2010.0
1.589,2010.0
1.599,2010.0
1.609,2010.0
1.619,2010.0
1.629,1980.0
1.639,1980.0
1.649,2010.0
1.659,2010.0
1.669,1980.0
1.679,2010.0
1.689,2010.0
1.699,2010.0
1.709,2010.0
1.719,1980.0
1.729,2010.0
1.739,2010.0
1.75,1980.0
1.759,2010.0
1.769,2010.0
1.779,1980.0
1.789,2010.0
1.799,2010.0
1.809,2010.0
1.819,2010.0
1.829,2010.0
1.839,1980.0
1.849,2010.0
1.859,2010.0
1.869,2010.0
1.879,2010.0
1.889,2010.0
1.899,1980.0
2.159,2010.0
2.169,1980.0
2.179,2010.0
2.189,2010.0
2.199,1980.0
2.209,1980.0
2.22,1980.0
2.229,1980.0
2.239,2010.0
2.249,1980.0
2.259,2010.0
2.269,2010.0
2.279,2010.0
2.289,1980.0
2.299,2010.0
2.309,2010.0
2.319,2010.0
2.329,2010.0
2.339,2010.0
2.349,1980.0
2.359,2010.0
2.369,2010.0
2.379,2010.0
2.39,2010.0
2.399,2010.0
2.409,1980.0
2.419,2010.0
2.429,2010.0
2.439,1980.0
2.449,2010.0
2.459,2010.0
2.469,1980.0
2.479,2010.0
2.489,2010.0
2.499,2010.0
2.509,2010.0
2.519,2010.0
2.529,1980.0
2.539,1980.0
2.549,2040.0
2.56,1980.0
2.569,2040.0
2.579,2010.0
2.589,2010.0
2.599,2010.0
2.609,2010.0
2.619,1980.0
2.629,2010.0
2.639,2010.0
2.649,1980.0
2.659,2010.0
2.669,2010.0
2.679,1980.0
2.689,2010.0
2.699,2010.0
2.709,1980.0
2.719,2010.0
2.729,2010.0
2.739,2010.0
2.749,2010.0
2.759,1980.0
2.769,2010.0
2.779,2010.0
2.789,2010.0
2.799,1980.0
2.809,2010.0
2.819,2010.0
2.829,2010.0
2.839,1980.0
2.849,2010.0
2.86,1980.0
2.869,2010.0
2.879,2010.0
2.889,1980.0
2.899,2010.0
2.909,1980.0
2.919,2010.0
2.929,1980.0
2.939,2010.0
2.949,1980.0
2.959,2010.0
2.969,2010.0
2.979,2010.0
2.989,2010.0
2.999,2010.0
3.009,1980.0
3.019,2010.0
3.03,2010.0
3.039,2010.0
3.049,2010.0
3.059,2010.0
3.069,1980.0
3.079,1980.0
3.089,2010.0
3.099,1980.0
3.109,2010.0
3.119,2010.0
3.129,1980.0
3.139,2010.0
3.149,1980.0
3.159,2010.0
3.169,1980.0
3.179,2010.0
3.189,2010.0
3.2,1980.0
3.209,2010.0
3.219,1980.0
3.229,1980.0
3.239,1980.0
3.249,1980.0
3.259,1980.0
3.269,2010.0
3.279,1980.0
3.289,2010.0
3.299,2010.0
3.309,1980.0
3.319,2010.0
3.329,1980.0
3.339,1980.0
3.349,1980.0
3.359,2010.0
3.369,2010.0
3.379,2010.0
3.389,2010.0
3.399,1980.0
3.409,2010.0
3.419,2010.0
3.429,2010.0
3.439,2010.0
3.449,2010.0
3.459,1980.0
3.469,2010.0
3.479,2010.0
3.489,2010.0
3.5,2010.0
3.509,2010.0
3.519,2010.0
3.529,2010.0
3.539,2010.0
3.549,2010.0
3.559,1980.0
3.569,2010.0
3.579,2010.0
3.589,2010.0
3.599,2010.0
3.609,1980.0
3.619,2010.0
3.629,2010.0
3.639,1980.0
3.649,2010.0
3.659,2010.0
3.67,1980.0
3.679,1980.0
