Tempo (s),RPM
0.009,6.4
0.019,19.2
0.029,32.0
0.039,44.704
0.049,57.216
0.059,69.344
0.069,80.896
0.079,91.776
0.089,101.792
0.099,110.944
0.109,119.136
0.119,126.368
0.129,132.736
0.139,138.336
0.149,143.168
0.159,147.328
0.169,151.008
0.179,154.208
0.189,156.928
0.199,159.36
0.209,161.504
0.219,163.36
0.229,165.12
0.239,166.688
0.249,168.064
0.259,169.248
0.269,170.432
0.279,171.52
0.289,172.416
0.3,173.408
0.309,174.4
0.319,175.296
0.329,176.192
0.339,176.992
0.349,177.696
0.359,178.4
0.369,179.104
0.379,179.712
0.389,180.32
0.399,180.928
0.409,181.44
0.419,181.952
0.429,182.464
0.439,183.072
0.449,183.68
0.459,184.288
0.47,184.896
0.479,185.312
0.489,185.728
0.499,186.144
0.509,186.464
0.519,186.88
0.529,187.2
0.539,187.424
0.549,187.744
0.559,187.968
0.569,188.192
0.579,188.512
0.589,188.832
0.599,189.152
0.609,189.472
0.619,189.696
0.629,189.824
0.64,190.048
0.649,190.272
0.659,190.4
0.669,190.624
0.679,190.848
0.689,190.976
0.699,191.104
0.709,191.328
0.719,191.552
0.729,191.68
0.739,191.808
0.749,191.936
0.759,192.064
0.769,192.192
0.779,192.32
0.789,192.448
0.799,192.576
0.809,192.608
0.819,192.64
0.829,192.768
0.839,192.896
0.849,193.024
0.859,193.152
0.869,193.28
0.879,193.312
0.889,193.344
0.899,193.472
0.909,193.504
0.919,193.536
0.929,193.664
0.94,193.792
0.949,193.92
0.959,193.952
0.969,193.984
0.979,194.112
0.989,194.24
0.999,194.368
1.009,194.496
1.019,194.528
1.029,194.56
1.039,194.592
1.049,194.624
1.059,194.752
1.069,194.88
1.079,195.008
1.089,195.04
1.099,195.072
1.11,195.104
1.119,195.136
1.129,195.168
1.139,195.2
1.149,195.328
1.159,195.456
1.169,195.584
1.179,195.712
1.189,195.84
1.199,195.968
1.209,196.096
1.219,196.224
1.229,196.352
1.239,196.384
1.249,196.416
1.259,196.448
1.269,196.48
1.28,196.608
1.289,196.64
1.299,196.672
1.309,196.8
1.319,196.832
1.329,196.864
1.339,196.992
1.349,197.024
1.359,196.96
1.369,196.992
1.379,197.12
1.389,197.152
1.399,197.184
1.409,197.216
1.419,197.152
1.429,197.184
1.439,197.216
1.449,197.152
1.459,197.088
1.469,197.12
1.479,197.248
1.489,197.28
1.499,197.216
1.509,197.248
1.519,197.376
1.529,197.408
1.539,197.344
1.549,197.376
1.559,197.408
1.569,197.344
1.58,197.376
1.589,197.504
1.599,197.632
1.609,197.664
1.619,197.6
1.629,197.632
1.639,197.76
1.649,197.792
1.659,197.728
1.669,197.76
1.679,197.792
1.689,197.728
1.699,197.76
1.709,197.792
1.719,197.729
1.729,197.665
1.739,197.601
1.75,197.537
1.759,197.569
1.769,197.697
1.779,197.825
1.789,197.857
1.799,197.793
1.809,197.729
