PWM,RPM
4.8,0.0
14.4,0.0
24.0,0.0
33.6,0.0
43.104,30.0
52.512,30.0
61.632,120.0
70.272,180.0
78.336,300.0
85.632,420.0
92.256,510.0
98.112,660.0
103.2,750.0
107.52,900.0
111.072,990.0
114.048,1080.0
116.448,1170.0
118.272,1260.0
119.616,1320.0
120.576,1380.0
121.152,1440.0
121.344,1500.0
121.344,1500.0
121.248,1530.0
120.864,1590.0
120.288,1590.0
119.712,1590.0
119.136,1590.0
118.464,1620.0
117.6,1650.0
116.736,1620.0
116.064,1590.0
115.296,1650.0
114.432,1620.0
113.76,1590.0
113.088,1620.0
112.32,1620.0
111.648,1590.0
111.072,1590.0
110.496,1590.0
109.92,1590.0
109.344,1590.0
108.864,1560.0
108.48,1560.0
108.0,1590.0
107.52,1560.0
107.232,1530.0
106.944,1560.0
106.56,1560.0
106.272,1530.0
106.08,1530.0
105.888,1530.0
105.696,1530.0
105.504,1530.0
105.408,1500.0
105.312,1530.0
105.12,1530.0
105.024,1500.0
104.928,1530.0
104.832,1500.0
104.736,1530.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.736,1470.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.736,1530.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.544,1530.0
104.448,1500.0
104.544,1470.0
104.544,1530.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.352,1530.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.16,1530.0
104.16,1470.0
104.256,1500.0
104.256,1500.0
104.16,1530.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
103.968,1530.0
103.872,1500.0
103.872,1500.0
103.968,1470.0
104.064,1500.0
103.968,1530.0
103.968,1470.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.16,1470.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.352,1470.0
104.448,1500.0
104.448,1500.0
104.544,1470.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.736,1470.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.928,1470.0
105.024,1500.0
105.024,1500.0
105.024,1500.0
105.12,1470.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.12,1530.0
105.024,1500.0
105.024,1500.0
104.928,1530.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.736,1530.0
104.736,1470.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.928,1470.0
