PWM,RPM
4.8,0.0
14.4,0.0
24.0,0.0
33.6,0.0
43.008,60.0
52.224,60.0
61.152,150.0
69.6,210.0
77.568,300.0
84.864,420.0
91.392,540.0
97.248,630.0
102.336,780.0
106.656,870.0
110.304,990.0
113.184,1110.0
115.488,1170.0
117.312,1260.0
118.752,1290.0
119.808,1380.0
120.384,1440.0
120.672,1470.0
120.768,1500.0
120.672,1530.0
120.384,1560.0
120.0,1560.0
119.52,1590.0
118.944,1590.0
118.272,1620.0
117.504,1620.0
116.832,1590.0
116.16,1620.0
115.392,1620.0
114.624,1620.0
113.952,1590.0
113.28,1620.0
112.512,1620.0
111.84,1590.0
111.264,1590.0
110.688,1590.0
110.112,1590.0
109.632,1560.0
109.152,1590.0
108.672,1560.0
108.288,1560.0
107.904,1560.0
107.52,1560.0
107.232,1530.0
106.944,1560.0
106.656,1530.0
106.464,1530.0
106.272,1530.0
106.08,1530.0
105.888,1530.0
105.696,1530.0
105.504,1530.0
105.408,1500.0
105.408,1500.0
105.312,1530.0
105.216,1500.0
105.12,1530.0
105.024,1500.0
105.024,1500.0
104.928,1530.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.928,1470.0
105.024,1500.0
105.024,1500.0
105.024,1500.0
105.024,1500.0
105.024,1500.0
104.928,1530.0
104.832,1500.0
104.832,1500.0
104.832,1500.0
104.736,1530.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.544,1530.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.352,1530.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.16,1530.0
104.064,1500.0
104.16,1470.0
104.16,1530.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
103.968,1530.0
103.968,1470.0
104.064,1500.0
103.968,1530.0
103.872,1500.0
103.872,1500.0
103.968,1470.0
103.968,1530.0
103.872,1500.0
103.872,1500.0
103.872,1500.0
103.872,1500.0
103.872,1500.0
103.968,1470.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.064,1500.0
104.16,1470.0
104.256,1500.0
104.256,1500.0
104.256,1500.0
104.352,1470.0
104.448,1500.0
104.448,1500.0
104.448,1500.0
104.544,1470.0
104.64,1500.0
104.64,1500.0
104.64,1500.0
104.736,1470.0
104.832,1500.0
104.832,1500.0
104.928,1470.0
105.024,1500.0
105.024,1500.0
105.024,1500.0
105.12,1470.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.312,1470.0
105.312,1530.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
105.216,1500.0
