PWM,RPM
7.36,0.0
22.08,0.0
36.8,0.0
51.424,30.0
65.76,90.0
79.616,180.0
92.8,300.0
105.12,450.0
116.48,600.0
126.784,780.0
135.936,960.0
144.128,1080.0
151.456,1230.0
157.824,1380.0
163.328,1500.0
168.16,1590.0
172.512,1650.0
176.384,1740.0
179.776,1800.0
182.88,1830.0
185.6,1920.0
188.032,1920.0
190.368,1950.0
192.512,1980.0
194.56,1980.0
196.512,2010.0
198.272,2040.0
199.936,2040.0
201.6,2040.0
203.168,2070.0
204.64,2070.0
206.112,2070.0
207.584,2070.0
208.96,2100.0
210.24,2100.0
211.52,2100.0
212.8,2100.0
214.08,2100.0
215.264,2130.0
216.448,2100.0
217.632,2130.0
218.72,2130.0
219.808,2130.0
220.896,2130.0
221.888,2160.0
222.88,2130.0
223.872,2160.0
224.768,2160.0
225.76,2130.0
226.752,2160.0
227.648,2160.0
228.64,2130.0
229.536,2190.0
230.336,2160.0
231.232,2160.0
232.032,2190.0
232.736,2190.0
233.536,2160.0
234.336,2190.0
235.04,2190.0
235.744,2190.0
236.448,2190.0
237.152,2190.0
237.856,2190.0
238.56,2190.0
239.264,2190.0
239.872,2220.0
240.48,2190.0
241.184,2190.0
241.888,2190.0
242.592,2190.0
243.296,2190.0
244.0,2190.0
244.608,2220.0
245.024,2250.0
245.44,2220.0
245.951,2220.0
246.463,2220.0
246.975,2220.0
247.391,2250.0
247.711,2250.0
248.127,2220.0
248.543,2250.0
248.863,2250.0
249.279,2220.0
249.791,2220.0
250.303,2220.0
250.719,2250.0
251.039,2250.0
251.359,2250.0
251.679,2250.0
252.095,2220.0
252.511,2250.0
252.831,2250.0
253.247,2220.0
253.567,2280.0
253.695,2280.0
253.823,2280.0
253.951,2280.0
254.079,2280.0
254.111,2310.0
254.047,2310.0
254.079,2280.0
254.111,2310.0
254.047,2310.0
254.079,2280.0
254.111,2310.0
254.143,2280.0
254.175,2310.0
254.111,2310.0
254.047,2310.0
253.983,2310.0
253.919,2310.0
253.855,2310.0
253.791,2310.0
253.823,2280.0
253.855,2310.0
253.792,2310.0
253.824,2280.0
253.952,2280.0
254.176,2250.0
254.496,2250.0
254.912,2220.0
255.0,2160.0
255.0,2220.0
255.0,2250.0
255.0,2280.0
255.0,2280.0
255.0,2280.0
254.936,2340.0
254.776,2310.0
254.904,2250.0
255.0,2250.0
255.0,2220.0
255.0,2280.0
255.0,2280.0
255.0,2310.0
254.936,2310.0
254.872,2310.0
254.808,2310.0
254.648,2340.0
254.488,2310.0
254.424,2310.0
254.36,2310.0
254.296,2310.0
254.232,2310.0
254.264,2280.0
254.488,2250.0
254.808,2250.0
255.0,2190.0
255.0,2220.0
255.0,2280.0
255.0,2280.0
255.0,2310.0
255.0,2280.0
255.0,2310.0
254.936,2310.0
254.968,2280.0
255.0,2280.0
255.0,2280.0
255.0,2280.0
255.0,2310.0
254.936,2310.0
254.872,2310.0
254.904,2280.0
255.0,2220.0
255.0,2250.0
255.0,2280.0
255.0,2280.0
255.0,2310.0
254.936,2310.0
254.872,2310.0
