Tempo (s),RPM
0.009,0.0
0.019,0.0
0.029,0.0
0.039,0.0
0.049,30.0
0.059,30.0
0.069,90.0
0.079,210.0
0.089,270.0
0.099,420.0
0.109,510.0
0.119,660.0
0.129,780.0
0.139,900.0
0.149,990.0
0.159,1080.0
0.169,1200.0
0.179,1260.0
0.189,1320.0
0.199,1410.0
0.209,1440.0
0.219,1500.0
0.229,1530.0
0.239,1530.0
0.249,1590.0
0.259,1590.0
0.269,1620.0
0.279,1620.0
0.289,1620.0
0.3,1650.0
0.309,1620.0
0.319,1650.0
0.329,1620.0
0.339,1650.0
0.349,1650.0
0.359,1620.0
0.369,1620.0
0.379,1620.0
0.389,1620.0
0.399,1590.0
0.409,1620.0
0.419,1590.0
0.429,1590.0
0.439,1560.0
0.449,1590.0
0.459,1590.0
0.47,1530.0
0.479,1560.0
0.489,1560.0
0.499,1560.0
0.509,1530.0
0.519,1530.0
0.529,1530.0
0.539,1530.0
0.549,1500.0
0.559,1530.0
0.569,1530.0
0.579,1530.0
0.589,1500.0
0.599,1500.0
0.609,1500.0
0.619,1500.0
0.629,1500.0
0.64,1500.0
0.649,1500.0
0.659,1500.0
0.669,1470.0
0.679,1500.0
0.689,1500.0
0.699,1500.0
0.709,1470.0
0.719,1500.0
0.729,1530.0
0.739,1500.0
0.749,1500.0
0.759,1500.0
0.769,1530.0
0.779,1500.0
0.789,1500.0
0.799,1500.0
0.809,1500.0
0.819,1500.0
0.829,1500.0
0.839,1500.0
0.849,1500.0
0.859,1500.0
0.869,1500.0
0.879,1500.0
0.889,1500.0
0.899,1500.0
0.909,1470.0
0.919,1500.0
0.929,1530.0
0.94,1500.0
0.949,1470.0
0.959,1500.0
0.969,1500.0
0.979,1500.0
0.989,1500.0
0.999,1500.0
1.009,1500.0
1.019,1500.0
1.029,1500.0
1.039,1500.0
1.049,1530.0
1.059,1500.0
1.069,1500.0
1.079,1500.0
1.089,1500.0
1.099,1500.0
1.11,1470.0
1.119,1500.0
1.129,1500.0
1.139,1500.0
1.149,1470.0
1.159,1500.0
1.169,1500.0
1.179,1500.0
1.189,1500.0
1.199,1500.0
1.209,1500.0
1.219,1500.0
1.229,1500.0
1.239,1500.0
1.249,1500.0
1.259,1500.0
1.269,1500.0
1.28,1500.0
1.289,1500.0
1.299,1500.0
1.309,1500.0
1.319,1500.0
1.329,1530.0
1.339,1500.0
1.349,1500.0
1.359,1500.0
1.369,1500.0
1.379,1500.0
1.389,1500.0
1.399,1500.0
1.409,1530.0
1.419,1500.0
1.429,1470.0
1.439,1500.0
1.449,1530.0
1.459,1500.0
1.469,1470.0
1.479,1500.0
1.489,1530.0
1.499,1500.0
1.509,1500.0
1.519,1500.0
1.529,1500.0
1.539,1500.0
1.549,1500.0
1.559,1500.0
1.569,1530.0
1.58,1500.0
1.589,1470.0
1.599,1530.0
1.609,1500.0
1.619,1500.0
1.629,1470.0
1.639,1500.0
1.649,1530.0
1.659,1500.0
1.669,1470.0
1.679,1500.0
1.689,1500.0
1.699,1500.0
1.709,1470.0
1.719,1500.0
1.729,1500.0
1.739,1500.0
1.75,1470.0
1.759,1500.0
1.769,1500.0
1.779,1500.0
1.789,1500.0
1.799,1500.0
1.809,1500.0
1.819,1470.0
1.829,1500.0
1.839,1500.0
1.849,1500.0
1.859,1500.0
1.869,1500.0
1.879,1500.0
1.889,1530.0
1.899,1500.0
1.909,1500.0
1.92,1500.0
1.929,1530.0
1.939,1500.0
1.949,1500.0
1.959,1500.0
1.969,1500.0
1.979,1500.0
1.989,1500.0
1.999,1500.0
2.009,1500.0
2.019,1500.0
2.029,1500.0
2.039,1500.0
2.049,1500.0
2.059,1500.0
2.069,1500.0
2.079,1500.0
2.089,1500.0
2.099,1530.0
2.379,1500.0
2.39,1470.0
2.399,1500.0
2.409,1530.0
2.419,1500.0
2.429,1500.0
2.439,1500.0
2.449,1530.0
2.459,1500.0
2.469,1500.0
2.479,1500.0
2.489,1500.0
2.499,1500.0
2.509,1500.0
2.519,1500.0
2.529,1530.0
2.539,1500.0
2.549,1470.0
2.56,1500.0
2.569,1530.0
2.579,1500.0
2.589,1470.0
2.599,1500.0
2.609,1530.0
2.619,1500.0
2.629,1500.0
2.639,1500.0
2.649,1500.0
2.659,1500.0
2.669,1500.0
2.679,1500.0
2.689,1530.0
2.699,1500.0
2.709,1470.0
2.719,1500.0
2.729,1500.0
2.739,1500.0
2.749,1500.0
2.759,1500.0
2.769,1530.0
2.779,1500.0
2.789,1500.0
2.799,1500.0
2.809,1500.0
2.819,1500.0
2.829,1500.0
2.839,1500.0
2.849,1500.0
2.86,1500.0
2.869,1500.0
2.879,1500.0
2.889,1500.0
2.899,1500.0
2.909,1500.0
2.919,1500.0
2.929,1500.0
2.939,1500.0
2.949,1470.0
2.959,1500.0
2.969,1500.0
2.979,1500.0
2.989,1470.0
2.999,1500.0
3.009,1500.0
3.019,1500.0
3.03,1500.0
3.039,1470.0
3.049,1530.0
3.059,1470.0
3.069,1500.0
3.079,1500.0
3.089,1500.0
3.099,1500.0
3.109,1500.0
3.119,1500.0
3.129,1500.0
3.139,1530.0
3.149,1470.0
3.159,1530.0
